,,Sig Corr,815.279578,864.6719276,844.5639985,883.5463164,846.9200922,818.8295918,843.5363729,778.7820248,787.796654,821.6398898,806.3272264,795.9453293,812.8977191,820.6364068,850.4515539,789.6060434,827.5970381,800.0585589,817.700381,836.6163347,860.986664,811.9249108,816.4473294,862.4381941,835.6094628,814.252882,800.3799648,859.518086,811.327088,842.8161401,838.189002,833.0308825,849.9894252,852.1632273,856.9108783,843.9908054,982.0050679,977.9870794,978.599969,975.8806854,980.3706302,971.7836068,970.6094671,973.8129122,970.7790173,970.3623522,974.8094628,975.7383392,978.3046241,973.0880236,977.1297032,978.2747862,975.9349327,977.7446965,978.4550128,975.5162875,984.7479246,983.7279811,985.3093284,983.9175855,981.1793877,979.0310999,981.0125533,978.2854615,977.6911439,978.3311059,980.7429258,981.753688,981.0848584,978.7920199,979.7840781,980.885094,981.2496165,980.2994209,980.3930892,982.2173675,977.1172193,980.263984,977.7814384,980.3723309,978.0244817,978.9261689,978.3435506,978.9973806,979.0708673,978.1118295,977.8028341,980.1687124,980.0243535,980.617906,979.0007384,977.7811581,979.0485012,977.702269,977.7677434,980.8627247,963.9936481,963.7813356,972.8125927,966.4414942,963.8416831,971.8078439,964.95815,963.3135804,969.2963757,964.2432767,976.2847028,963.3466012,966.9738353,970.2556864,965.7099874,968.1411097,969.2883061,968.298607,968.2147284,962.5957387
TGXXX(18:00/18:01/18:02),TGXXX,C57H104O6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.39055475,50.84043268,53.86380382,44.78348418,52.05133974,37.12443885,48.3205992,53.56748079,49.9914852,43.39340399,47.11371433,47.51534442,42.59738347,43.22534342,46.26073219,44.12832282,40.63435433,37.66016502,44.68355261,49.54123108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TGXXX(18:00/18:01/20:01),TGXXX,C59H110O6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.951429732,1.055883896,1.072786156,0.795580741,1.77246627,0,0.813878126,0.830011417,0.948179524,1.096525828,1.301626326,1.913038723,1.132369396,0.550859855,0.684516775,0.825736967,0.622141208,1.289226177,1.015400751,1.25749173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TGXXX(18:00/18:01/22:01),TGXXX,C61H114O6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TGXXX(18:00/18:01/22:04),TGXXX,C61H108O6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TGXXX(18:00/18:01/22:06)a,TGXXX,C61H104O6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26750947,1.201339421,0.794787603,0.821429236,0.645444659,0,0,0,0,0,0,0,0,0,0,0,0,1.198482294,1.080728775,1.295083822,0.959331178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TGXXX(18:00/18:01/22:06)b,TGXXX,C61H104O6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TGXXX(18:00/18:02/22:01),TGXXX,C61H112O6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TGXXX(18:00/18:02/22:04),TGXXX,C61H106O6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TGXXX(18:00/18:02/22:05),TGXXX,C61H104O6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TGXXX(18:00/18:02/22:06),TGXXX,C61H102O6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TGXXX(18:00/20:01/22:06),TGXXX,C63H108O6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TGXXX(18:00/20:03/22:06),TGXXX,C63H104O6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TGXXX(18:00/20:04/22:02),TGXXX,C63H110O6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TGXXX(18:00/20:05/22:05),TGXXX,C63H102O6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TGXXX(18:00/22:06/22:06),TGXXX,C65H102O6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TGXXX(18:01/18:01/18:01),TGXXX,C57H104O6,14.07611591,16.4355494,8.330902431,15.14161751,14.4173205,4.271536144,4.604960132,2.196431873,2.662945332,3.878036755,4.785121097,3.182929593,3.549443564,4.207277053,4.689404743,4.317914795,5.954550612,3.917962242,3.055566823,3.123102261,15.26089964,10.95564315,11.22204816,17.46977273,5.222878079,5.260752542,5.019463108,7.958199925,3.98080913,6.640978793,4.784946805,4.497502121,5.418234064,5.246148788,5.471658464,4.56398596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TGXXX(18:01/18:01/18:02)a,TGXXX,C57H102O6,15.3780639,13.53810434,12.94976856,16.19786682,14.99165412,6.59976978,10.56836063,3.999982664,5.415687193,6.450924595,5.998666035,5.922079641,5.731502262,7.919192964,5.80748544,6.239835121,7.747995978,6.242377312,4.371647465,4.234327513,15.32126563,16.00666556,18.70378304,20.6971403,10.07812508,8.229699747,8.700674512,13.35515352,7.623209435,9.495279611,7.453070232,6.394324579,7.039068808,8.840952352,6.934986399,5.050951213,63.59265688,68.40724469,75.11526993,66.28532669,61.34529309,73.80596282,73.14172757,80.18144196,77.4032504,71.62913411,62.46836406,55.12223549,57.17076113,77.12137527,67.47144632,65.83492135,65.98621579,61.75150166,62.8747411,70.65036096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TGXXX(18:01/18:01/18:02)b,TGXXX,C57H102O6,21.22712215,19.55688396,19.91437504,19.59422369,19.74560754,6.817880359,10.4147021,4.916026368,7.023399927,8.083482378,8.942069156,6.272899164,6.893371985,8.678764453,6.58435182,6.313841334,8.798806123,6.62613228,6.127412296,5.251935168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TGXXX(18:01/18:01/19:00),TGXXX,C58H108O6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.670856199,0,0,0,0,0.507424612,0.564000906,0.847788168,0.554776893,0,0,0,0,0.586157835,0.544957415,0.531998328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TGXXX(18:01/18:01/19:01),TGXXX,C58H106O6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TGXXX(18:01/18:01/20:01)a,TGXXX,C59H108O6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.868100736,0.963553227,1.168996936,1.247125178,0.613439008,0.62092619,0,0.847387252,0.618040759,0,0.507325704,0.597921481,0,0.50193675,0,0,4.368923027,4.081252034,4.663336811,3.297422995,6.480091182,2.163416899,4.751415797,3.893231036,4.832206727,4.495336816,5.492730441,6.141057029,4.834495924,2.9229989,3.957005584,3.537375534,3.444632806,4.459897081,4.334797953,5.230287848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TGXXX(18:01/18:01/20:01)b,TGXXX,C59H108O6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TGXXX(18:01/18:01/20:04),TGXXX,C59H102O6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TGXXX(18:01/18:01/22:01),TGXXX,C61H112O6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.807255078,0,0,0,0.526944096,0.588669954,0.741318417,0.755580027,0,0,0,0,0,0.616200323,0.504424767,0.708292008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TGXXX(18:01/18:01/22:04),TGXXX,C61H106O6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TGXXX(18:01/18:01/22:05)a,TGXXX,C61H104O6,0.556649806,1.130340061,0.935835881,1.0603241,0.702232864,1.425796109,1.703238338,0.719812031,1.235225169,1.564159745,1.993910056,1.855854435,1.438929647,1.926123585,1.511944785,0.607322294,0.769552784,0.579933222,0,0.538199032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.547464285,0,0.527016933,0,0.528333077,0,0,0,0,0.905654003,0.815131235,1.092013707,0.728190192,1.22568534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TGXXX(18:01/18:01/22:05)b,TGXXX,C61H104O6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.530296845,0,0,0,0,0.63064457,0.867855882,1.201542875,0.608071413,1.102896383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TGXXX(18:01/18:01/22:05)c,TGXXX,C61H104O6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.643585185,0,0,0,0,0.993372711,1.045691458,1.578956371,0.874493418,1.403151522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TGXXX(18:01/18:01/22:06)a,TGXXX,C61H102O6,1.507604371,2.077306215,1.681697731,1.870967482,2.07522918,1.293087325,1.769073049,0.879439552,1.592343216,1.842568348,3.044210761,2.142505907,2.279952062,1.919161345,2.460342004,7.041357297,6.896383832,5.391876979,4.62091429,5.670678627,0.949988745,1.007466157,1.441850211,1.964149281,1.736906308,1.317590659,2.238757523,2.441315555,0.680665434,0.96285081,0.515827002,0.682043131,6.577962573,6.345678964,6.601104324,5.163959196,0.746724938,0.756510639,0.860701137,0.694777221,0.682452482,0.959358432,1.181945199,0.94587104,1.04961931,1.045710028,1.287355219,1.237094904,1.142664544,1.000136389,0.961997037,4.864294466,4.583014353,5.438007056,3.652960796,4.927337764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TGXXX(18:01/18:01/22:06)b,TGXXX,C61H102O6,1.622804042,1.703501916,1.430927465,1.628377696,1.993354799,1.223461943,1.566839602,1.345085094,1.758188311,2.182645148,2.87505974,2.236653228,1.993468331,1.736945784,1.939540306,4.972857072,3.9505291,3.093135008,3.683954834,4.57526862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TGXXX(18:01/18:01/22:06)c,TGXXX,C61H102O6,1.63437305,1.683871626,1.181549263,1.362337897,1.71272446,0.855219546,1.428230905,0.880248917,1.15816607,1.259623532,0.502100036,1.498720646,1.479632878,0,1.939540306,5.805964166,6.628876742,4.426557917,4.172689165,4.562842356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TGXXX(18:01/18:02/18:02)a,TGXXX,C57H100O6,13.88769044,22.8377472,13.64804457,17.05461125,16.33973434,10.61518954,15.74799878,5.82875429,8.268260421,10.37318915,10.50254558,7.356011603,8.883756161,7.865823183,8.838798661,8.857871334,8.819129987,8.573999789,6.395233569,6.603754039,14.78337973,9.020866312,15.17388653,16.60244502,12.41677445,9.97198255,10.27279377,13.44984414,6.666799114,11.24394513,10.01349015,9.812839348,7.700823666,8.633530447,8.244379453,6.66891559,72.17344204,76.58648968,82.80291506,74.42147218,76.09739913,87.04622713,87.26740807,87.91673763,91.69349167,89.23060549,75.21439456,63.90700265,80.73338192,82.77602449,79.4935691,77.82159104,68.3640532,77.48656272,71.62500844,75.22656341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TGXXX(18:01/18:02/18:02)b,TGXXX,C57H100O6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TGXXX(18:01/18:02/18:03),TGXXX,C57H98O6,6.328514467,11.00537065,6.299768395,8.798888334,8.772671517,20.00622734,9.368175505,10.06447082,14.67687961,4.996927477,7.78129306,5.625174233,6.91107732,8.467968232,9.959428031,6.476202139,7.213464265,6.111065721,4.591676978,4.683619872,5.493963402,3.117971414,3.807989214,6.781334248,25.46918318,25.96653585,23.02964859,30.90628239,4.925990198,9.178681398,9.780285464,11.45285182,6.197997941,5.669483553,5.090152709,5.560658146,58.37636816,41.37354236,49.98191708,45.11007055,64.54747537,53.99434796,56.99467887,66.84411626,54.65382018,52.64857025,59.20964622,56.86323788,63.23003986,46.64933476,60.26998969,65.18541483,63.97856182,52.24850085,66.84354467,57.6519551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TGXXX(18:01/18:02/19:00),TGXXX,C58H106O6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.959216235,1.481464627,1.631549956,1.128733504,2.132538874,0.705689774,1.277374663,1.667253362,1.584420303,1.576824802,1.626097235,2.383168694,1.848793126,1.009574619,1.385125677,1.371075674,1.085368441,1.45201991,1.812166477,1.599476289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TGXXX(18:01/18:02/19:01),TGXXX,C58H104O6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.49284337,1.471585087,1.277739604,0.544604439,1.515474053,0.958410504,1.337835889,1.804852002,1.226730416,1.262349654,1.436613507,1.418651777,1.347733191,1.190791434,1.349941458,1.270617822,1.076123985,1.461217106,1.356507507,1.418400087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TGXXX(18:01/18:02/20:00),TGXXX,C59H108O6,0.840614322,1.122170639,0.752310797,1.298279812,0.959581229,0,0.702568411,0,0,0,0.64778542,0,0,0,0,0,0.658786716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TGXXX(18:01/18:02/20:01)a,TGXXX,C59H106O6,1.630382968,2.057273373,1.258595707,2.179792568,1.92733305,0.739800288,1.070990857,0,0.501013401,0.603024368,0.860037533,0,0,0,0,0.544868722,0.903839051,0.610262201,0,0,1.769143347,1.838743668,2.227226995,2.770900081,0.810262913,0.809163028,0.892524817,1.065212297,0.684473957,0.784453536,0.729460358,0.664237296,0.70733286,0.619136192,0.753594955,0.659421169,6.286233023,7.395984744,7.489760846,6.529068178,8.844108848,4.447214569,7.360002322,8.74804394,8.664377146,8.290165548,8.759679011,8.910840696,7.768900835,5.518260502,7.133179843,7.08758934,6.843316341,7.374778138,7.044097548,7.723886714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TGXXX(18:01/18:02/20:01)b,TGXXX,C59H106O6,1.485625486,2.90128114,1.717209551,2.649951348,1.994685679,0.636975457,0.993487557,0,0.58014057,0.65094698,0.903876973,0.521520569,0.580982457,0,0,0.51300654,0.961151948,0.581327355,0.527289028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TGXXX(18:01/18:02/20:02),TGXXX,C59H104O6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.305107638,1.694578863,1.987220901,2.431213935,3.138876153,3.203554417,2.817362916,5.450820613,0.749179577,0.893653113,0,0.554396106,0.737070911,0.768843862,0.794039433,0.729616133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TGXXX(18:01/18:02/20:03)a,TGXXX,C59H102O6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.534268334,0.638879304,0.745677389,0.656200908,0.545853391,0.807338261,0.762370824,0.664105238,1.028480743,0.729794904,0.575213067,0,0.514281681,0.82957988,0.64471931,0.647680012,0,0,0.600408633,0.625844776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
